SYMBOL,TOTAL_COUNT,AVG_DELIV_PER
LIQUIDCASE,16,96.59
SETFNIF50,11,93.54
LIQUID,11,90.9
GTLINFRA,10,100.0
HDFCNIFBAN,10,94.88
EBBETF0431,10,95.17
BFSI,9,93.51
LIQUIDSBI,8,96.27
SETFNIFBK,7,91.74
PAYTM,6,99.39
MASPTOP50,5,92.45
SHAILY,5,92.14
HDFCSILVER,5,90.91
EBBETF0430,5,93.1
GREENPOWER,5,97.31
ABSLLIQUID,5,98.64
SALASAR,5,97.54
