SYMBOL,TOTAL_COUNT,AVG_DELIV_PER
GTLINFRA,5,100.0
SETFNIF50,5,92.21
SHAILY,5,92.14
MASPTOP50,5,92.45
BFSI,5,93.83
EBBETF0431,5,96.65
LIQUIDCASE,5,96.46
