SYMBOL,TOTAL_COUNT,AVG_DELIV_PER
GTLINFRA,8,100.0
SETFNIF50,8,93.1
HDFCSILVER,7,89.69
EBBETF0431,6,94.11
EBBETF0425,5,92.96
LIQUID,5,92.9
